Parducci	249
Buty	205
Fort Ross	406
Lafond	197
Transcendence	214
Eberle	220
Alexander Valley Vineyards	202
La Follette	200
Bernardus	223
Left Coast Cellars	196
Wedell Cellars	195
FEL	189
14 Hands	203
Castoro Cellars	193
Evening Land	198
Cuvaison	210
Martin Ray	191
Lynmar	396
Gainey	176
Zepaltas	196
Talley	203
Edna Valley Vineyard	205
Trig Point	230
Array	194
Hearst Ranch	218
J Vineyards & Winery	185
Failla	430
Balletto	189
The Calling	178
Rusack	187
Merryvale	198
William Hill Estate	197
Testarossa	402
Byron	402
Merry Edwards	192
Peter Paul Wines	381
Kunde	205
Dry Creek Vineyard	198
Pam's Cuties	219
Center of Effort	212
Sleeping Giant	191
Jarvis	209
Daniel Gehrs	190
Mahoney	199
Beauregard	211
Kuleto Estate	194
Ponzi	579
Donkey & Goat	193
Treleaven	199
Anam Cara	211
Wrights Station	182
Thomas George	403
Grgich Hills	390
Occasio	204
Murphy-Goode	190
Eric Kent	203
Domaine Serene	210
Sanguis	209
Babcock	207
Loring Wine Company	194
Chamisal Vineyards	204
McGrail	191
Lawer	210
