Center of Effort	713
Ponzi	2363
Hearst Ranch	1786
Failla	1270
Daniel Gehrs	1183
Lafond	1200
Byron	1259
Trig Point	2011
La Follette	1614
Kuleto Estate	1304
Parducci	1475
Cuvaison	788
Chamisal Vineyards	2020
Lynmar	1059
Rusack	1209
Left Coast Cellars	2406
Buty	2166
Bernardus	971
Eric Kent	1635
Eberle	2520
Martin Ray	1174
Zepaltas	952
Wedell Cellars	1665
Lawer	2056
Testarossa	2088
Occasio	1127
McGrail	1323
Sanguis	1479
Grgich Hills	1953
Merry Edwards	2963
Fort Ross	3375
Thomas George	1269
J Vineyards & Winery	1197
